n,Runtime
50,0.00047124
100,0.002477044
150,0.00724566
200,0.01334148
250,0.02381504
300,0.038810604
350,0.059991376
400,0.084898576
450,0.122699688
500,0.163777436
550,0.215156512
600,0.272942592
650,0.343960224
700,0.419405368
750,0.522170092
800,0.62334014
850,0.747736152
900,0.87519526
950,1.036875016
1000,1.188665592
1050,1.413820004
1100,1.57383194
1150,1.78037034
1200,2.027529704
1250,2.273893148
1300,2.6440093
1350,3.058746256
1400,3.488005544
1450,3.988860476
1500,4.544259
1550,5.112751952
1600,5.691393004
1650,6.393986104
1700,7.038677128
1750,7.838067896
1800,8.654462376
1850,9.543386644
1900,10.4407149
1950,11.39252976
2000,12.46489355
2050,13.55547663
2100,14.75828801
2150,15.9483023
